Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 14:20h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500830 / TRÊS LAGOAS

Filtro:
Indicador: Taxa de exodontias na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO TOTAL DE EXODONTIAS REALIZADAS;NÚMERO DE TOTAL DE PROCEDIMENTOS INDIVIDUAIS PREVENTIVOS, CURATIVOS E EXODONTIAS REALIZADAS;PONTUAÇÃO
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812742";"PARANAPUNGA SAUDE BUCAL I";"eSB";"24";"316";"7,60"
"9543333";"UNIDADE DE SAUDE DA FAMILIA NOVA TRES LAGOAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001815229";"NOVA TRES LAGOAS SAUDE BUCAL I";"eSB";"53";"2217";"2,40"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813412";"ESF SANTO ANDRE SAUDE BUCAL II";"eSB";"15";"1311";"1,10"
"9390693";"UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002312271";"JARDIM ATENAS SAUDE BUCAL II";"eSB";"89";"1964";"4,50"
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812777";"ESF PARANAPUNGA SAUDE BUCAL II";"eSB";"123";"1642";"7,50"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813315";"SANTO ANDRE SAUDE BUCAL I";"eSB";"41";"1280";"3,20"
"9390693";"UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812424";"JARDIM ATENAS SAUDE BUCAL I";"eSB";"83";"2240";"3,70"
"9615946";"UNIDADE DE SAUDE DA FAMILIA NOVO OESTE PASTOR MARCOS ROGERIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001815016";"NOVO OESTE SAUDE BUCAL I";"eSB";"50";"965";"5,20"
"2757087";"UNIDADE DE SAUDE DA FAMILIA JUPIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812696";"JUPIA SAUDE BUCAL I";"eSB";"74";"1338";"5,50"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812475";"ESF VILA PILOTO SAUDE BUCAL II";"eSB";"93";"922";"10,10"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812211";"ESF INTERLAGOS SAUDE BUCAL I";"eSB";"54";"866";"6,20"
"2757141";"UNIDADE DE SAUDE DA FAMILIA VILA HARO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813560";"VILA HARO SAUDE BUCAL I";"eSB";"150";"1787";"8,40"
"2757133";"UNIDADE DE SAUDE DA FAMILIA VILA ALEGRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180081";"VILA ALEGRE SAUDE BUCAL I";"eSB";"85";"1008";"8,40"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812815";"SANTA RITA SAUDE BUCAL II";"eSB";"33";"925";"3,60"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180111";"JOEL NEVES SAUDE BUCAL II";"eSB";"122";"1079";"11,30"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812408";"INTERLAGOS SAUDE BUCAL II";"eSB";"54";"564";"9,60"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812823";"ESF SANTA RITA SAUDE BUCAL I";"eSB";"161";"2827";"5,70"
"6343864";"UNIDADE DE SAUDE DA FAMILIA JARDIM MARISTELA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812548";"MARISTELA SAUDE BUCAL II";"eSB";"83";"1318";"6,30"
"2757052";"UNIDADE DE SAUDE DA FAMILIA EURIDICE CHAGAS CRUZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180138";"EURIDICE CHAGAS CRUZ SAUDE BUC";"eSB";"9";"82";"11,00"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812459";"VILA PILOTO SAUDE BUCAL I";"eSB";"27";"425";"6,40"
"2757052";"UNIDADE DE SAUDE DA FAMILIA EURIDICE CHAGAS CRUZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0002273365";"EURIDICE CHAGAS SAUDE BUCAL II";"eSB";"72";"1421";"5,10"
"2757095";"UNIDADE DE SAUDE DA FAMILIA MIGUEL NUNES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180146";"MIGUEL NUNES SAUDE BUCAL I";"eSB";"194";"1977";"9,80"
"6343864";"UNIDADE DE SAUDE DA FAMILIA JARDIM MARISTELA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812637";"ESF MARISTELA SAUDE BUCAL I";"eSB";"1";"34";"2,90"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
