Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 07:37h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500110 / AQUIDAUANA

Filtro:
Indicador: Tratamento Odontológico concluído na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PESSOAS COM TRATAMENTO ODONTOLÓGICO CONCLUÍDO;NÚMERO DE PESSOAS COM A PRIMEIRA CONSULTA ODONTOLÓGICA PROGRAMADA REALIZADA;PONTUAÇÃO
"7525877";"UNIDADE DE SAUDE DA FAMILIA MODESTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001778455";"ODONTO TAUNAY/MORRINHO";"eSB";"122";"0";"0,00"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001760742";"ODONTO CLAUDIO FERNADO STELLA";"eSB";"87";"0";"0,00"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001740040";"ODONTO CANDIDO PINHEIRO FILHO";"eSB";"193";"0";"0,00"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001760122";"ODONTO JOSE VORIA";"eSB";"51";"0";"0,00"
"0467499";"UNIDADE DE SAUDE DA FAMILIA DRA CELIA VAZ DE CAMPOS TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002150220";"ODONTO DRA CELIA VAZ TRINDADE";"eSB";"163";"0";"0,00"
"7065817";"ESTRATEGIA DE SAUDE DA FAMILIA IZAURA BAES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001761188";"ODONTO NOVA AQUIDAUANA II";"eSB";"114";"0";"0,00"
"2360209";"UNIDADE DE SAUDE DA FAMILIA ELCIRIA RITA BRANDES GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001762036";"ODONTO VILA 40- SAO FRANCISCO";"eSB";"83";"0";"0,00"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001741330";"ODONTO JOAO ANDRE MADSEN";"eSB";"213";"0";"0,00"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001741586";"ODONTO TIAGO BOGADO FIGUEIREDO";"eSB";"141";"0";"0,00"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001740423";"ODONTO JOAO JORGE CARNEIRO";"eSB";"143";"0";"0,00"
"6315356";"ESTRATEGIA DE SAUDE DA FAMILIA SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735284";"ODONTO VILA SAO PEDRO";"eSB";"216";"0";"0,00"
"3240053";"ESTRATEGIA DE SAUDE DA FAMILIA VILA TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001759760";"ODONTO VILA TRINDADE";"eSB";"246";"0";"0,00"
"2360217";"UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001736612";"ODONTO VILA PINHEIRO";"eSB";"114";"0";"0,00"
"6310834";"ESTRATEGIA DE SAUDE DA FAMILIA CIPOLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001738658";"ODONTO CIPOLANDIA";"eSB";"88";"0";"0,00"
"3240061";"ESTRATEGIA DE SAUDE DA FAMILIA GUANANDY";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756990";"ODONTO GUANANDY";"eSB";"100";"0";"0,00"
"2360225";"ESTRATEGIA DE SAUDE DA FAMILIA CAMISAO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001775413";"ODONTO CAMISAO/PIRAPUTANGA";"eSB";"113";"0";"0,00"
"2659689";"ESTRATEGIA DE SAUDE DA FAMILIA NOVA AQUIDAUANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001737775";"ODONTO NOVA AQUIDAUANA";"eSB";"114";"0";"0,00"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
