Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 07:46h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500320 / CORUMBÁ

Filtro:
Indicador: Tratamento Odontológico concluído na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PESSOAS COM TRATAMENTO ODONTOLÓGICO CONCLUÍDO;NÚMERO DE PESSOAS COM A PRIMEIRA CONSULTA ODONTOLÓGICA PROGRAMADA REALIZADA;PONTUAÇÃO
"2376148";"UNIDADE BASICA DE SAUDE FERNANDO MOUTINHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001881361";"SAUDE BUCAL FERNANDO MOUTINHO";"eSB";"341";"0";"0,00"
"2376512";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884972";"SAUDE BUCAL ENIO CUNHA";"eSB";"255";"0";"0,00"
"2536684";"UNIDADE BASICA DE SAUDE NOVA CORUMBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001882163";"SAUDE BUCAL NOVA CORUMBA";"eSB";"96";"0";"0,00"
"2676796";"UNIDADE BASICA DE SAUDE SAO BARTOLOMEU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001863479";"SAUDE BUCAL SAO BARTOLOMEU";"eSB";"84";"0";"0,00"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884735";"SAUDE BUCAL BRENO I";"eSB";"23";"0";"0,00"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884506";"SAUDE BUCAL ALBUQUERQUE";"eSB";"83";"0";"0,00"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884808";"SAUDE BUCAL BRENO II";"eSB";"64";"0";"0,00"
"2603470";"UNIDADE BASICA DE SAUDE RURAL TAQUARAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0001901281";"SAUDE BUCAL TAQUARAL";"eSB";"91";"0";"0,00"
"2558726";"UNIDADE BASICA DE SAUDE POPULAR VELHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001880209";"SAUDE BUCAL POPULAR VELHA";"eSB";"110";"0";"0,00"
"6585426";"UNIDADE BASICA DE SAUDE LUIS FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001904035";"SAUDE BUCAL LUIZ FRAGELLI";"eSB";"254";"0";"0,00"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001903365";"SAUDE BUCAL GASTAO II";"eSB";"1";"0";"0,00"
"0456462";"UNIDADE BASICA DE SAUDE DR WALTER VICTORIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001880837";"SAUDE BUCAL WALTER VICTORIO";"eSB";"121";"0";"0,00"
"7573170";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001907697";"SAUDE BUCAL ENIO CUNHA II";"eSB";"143";"0";"0,00"
"6564070";"UNIDADE BASICA DE SAUDE ANGELICA ANACHE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001906054";"SAUDE BUCAL ANGELICA ANCHE";"eSB";"153";"0";"0,00"
"2536676";"UNIDADE BASICA DE SAUDE ROSIMEIRE DOS SANTOS AJALA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001901761";"SAUDE BUCAL BEIRA RIO";"eSB";"93";"0";"0,00"
"7320108";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001863150";"SAUDE BUCAL PEDRO PAULO II";"eSB";"154";"0";"0,00"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884220";"SAUDE BUCAL MATO GRANDE";"eSB";"42";"0";"0,00"
"2376121";"UNIDADE BASICA DE SAUDE PADRE ERNESTO SASSIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001885154";"SAUDE BUCAL ERNESTO SASSIDA";"eSB";"120";"0";"0,00"
"3043770";"UNIDADE BASICA DE SAUDE JOAO FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001905236";"SAUDE BUCAL JOAO FERNANDES";"eSB";"82";"0";"0,00"
"6590209";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001906666";"SAUDE BUCAL PEDRO PAULO";"eSB";"57";"0";"0,00"
"0148636";"UNIDADE BASICA DE SAUDE DR BONIFACIO TIKAYOSHI TIAEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002059118";"SAUDE BUCAL BONIFACIO TIAEN";"eSB";"48";"0";"0,00"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001903039";"SAUDE BUCAL GASTAO I";"eSB";"222";"0";"0,00"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
