Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 08:08h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500660 / PONTA PORÃ

Filtro:
Indicador: Tratamento Odontológico concluído na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PESSOAS COM TRATAMENTO ODONTOLÓGICO CONCLUÍDO;NÚMERO DE PESSOAS COM A PRIMEIRA CONSULTA ODONTOLÓGICA PROGRAMADA REALIZADA;PONTUAÇÃO
"2599465";"UNIDADE BASICA DE SAUDE LEONOR COELHO BATISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096315";"ESB - LEONOR COELHO BATISTA";"eSB";"309";"0";"0,00"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096358";"ESB - ITAMARATI";"eSB";"119";"0";"0,00"
"9042849";"UNIDADE BASICA DE SAUDE DR JOSE ISSA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002038420";"ESB - JOSE ISSA";"eSB";"257";"0";"0,00"
"2651556";"UNIDADE BASICA DE SAUDE LAR GERALDO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096323";"ESB - GERALDO GARCIA I";"eSB";"211";"0";"0,00"
"7281986";"UNIDADE BASICA DE SAUDE JOSE ALBERTO VIEIRA BOCH";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096366";"ESB - JARDIM ESTORIL";"eSB";"313";"0";"0,00"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096331";"ESB-ITINERANTE";"eSB";"175";"0";"0,00"
"2361019";"UNIDADE BASICA DE SAUDE AUDELINA DE CAMPOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096382";"ESB - CABECEIRA DO APA";"eSB";"214";"0";"0,00"
"9003479";"UNIDADE BASICA DE SAUDE ZENEIDA TERRA DE SIQUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002083558";"ESB - JARDIM IVONE";"eSB";"260";"0";"0,00"
"9387919";"UNIDADE BASICA DE SAUDE DRA NISLAINE COLMAN BENITES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096390";"ESB - VILA RENO";"eSB";"245";"0";"0,00"
"5911192";"UNIDADE BASICA DE SAUDE DR PEDRO MONTEIRO DE ALMEIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052792";"ESB - JARDIM AEROPORTO";"eSB";"226";"0";"0,00"
"2651564";"CENTRO INTEGRADO DE SAUDE CIS TERTULIANA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002225964";"ESB - CIS II";"eSB";"154";"0";"0,00"
"5870178";"UNIDADE BASICA DE SAUDE DR NERY ALVES DE AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002057433";"ESB - MARAMBAIA";"eSB";"181";"0";"0,00"
"0998400";"UNIDADE BASICA DE SAUDE DR RODRIGO LIMA VILHANUEVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002083531";"ESB - KAMEL SAAD";"eSB";"352";"0";"0,00"
"9075062";"UNIDADE BASICA DE SAUDE ENFERMEIRA ELIZA MEDINA BARRETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002057441";"ESB - SAO RAFAEL";"eSB";"263";"0";"0,00"
"2651521";"UNIDADE BASICA DE SAUDE NELSON MACHADO DIAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079925";"ESB - IPE II";"eSB";"321";"0";"0,00"
"5971918";"UNIDADE BASICA DE SAUDE ANDERSON LUIZ MONTEIRO GODOY";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052822";"ESB VILA AUREA";"eSB";"261";"0";"0,00"
"2361000";"UNIDADE BASICA DE SAUDE JOSE BATAGLIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079917";"ESB - SANGA PUITA";"eSB";"250";"0";"0,00"
"3830497";"UNIDADE BASICA DE SAUDE JOSE ALBERTO FERREIRA NEVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079933";"ESB - JARDIM ALEGRETE";"eSB";"291";"0";"0,00"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
