Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 08:15h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500830 / TRÊS LAGOAS

Filtro:
Indicador: Tratamento Odontológico concluído na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PESSOAS COM TRATAMENTO ODONTOLÓGICO CONCLUÍDO;NÚMERO DE PESSOAS COM A PRIMEIRA CONSULTA ODONTOLÓGICA PROGRAMADA REALIZADA;PONTUAÇÃO
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812742";"PARANAPUNGA SAUDE BUCAL I";"eSB";"60";"0";"0,00"
"9543333";"UNIDADE DE SAUDE DA FAMILIA NOVA TRES LAGOAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001815229";"NOVA TRES LAGOAS SAUDE BUCAL I";"eSB";"159";"0";"0,00"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813412";"ESF SANTO ANDRE SAUDE BUCAL II";"eSB";"259";"0";"0,00"
"9390693";"UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002312271";"JARDIM ATENAS SAUDE BUCAL II";"eSB";"188";"0";"0,00"
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812777";"ESF PARANAPUNGA SAUDE BUCAL II";"eSB";"49";"0";"0,00"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813315";"SANTO ANDRE SAUDE BUCAL I";"eSB";"222";"0";"0,00"
"9390693";"UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812424";"JARDIM ATENAS SAUDE BUCAL I";"eSB";"259";"0";"0,00"
"9615946";"UNIDADE DE SAUDE DA FAMILIA NOVO OESTE PASTOR MARCOS ROGERIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001815016";"NOVO OESTE SAUDE BUCAL I";"eSB";"87";"0";"0,00"
"2757087";"UNIDADE DE SAUDE DA FAMILIA JUPIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812696";"JUPIA SAUDE BUCAL I";"eSB";"153";"0";"0,00"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812475";"ESF VILA PILOTO SAUDE BUCAL II";"eSB";"63";"0";"0,00"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812211";"ESF INTERLAGOS SAUDE BUCAL I";"eSB";"207";"0";"0,00"
"2757141";"UNIDADE DE SAUDE DA FAMILIA VILA HARO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813560";"VILA HARO SAUDE BUCAL I";"eSB";"370";"0";"0,00"
"2757133";"UNIDADE DE SAUDE DA FAMILIA VILA ALEGRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180081";"VILA ALEGRE SAUDE BUCAL I";"eSB";"166";"0";"0,00"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812815";"SANTA RITA SAUDE BUCAL II";"eSB";"195";"0";"0,00"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180111";"JOEL NEVES SAUDE BUCAL II";"eSB";"238";"0";"0,00"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812408";"INTERLAGOS SAUDE BUCAL II";"eSB";"208";"0";"0,00"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812823";"ESF SANTA RITA SAUDE BUCAL I";"eSB";"150";"0";"0,00"
"6343864";"UNIDADE DE SAUDE DA FAMILIA JARDIM MARISTELA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812548";"MARISTELA SAUDE BUCAL II";"eSB";"177";"0";"0,00"
"2757052";"UNIDADE DE SAUDE DA FAMILIA EURIDICE CHAGAS CRUZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180138";"EURIDICE CHAGAS CRUZ SAUDE BUC";"eSB";"0";"0";"0,00"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812459";"VILA PILOTO SAUDE BUCAL I";"eSB";"47";"0";"0,00"
"2757052";"UNIDADE DE SAUDE DA FAMILIA EURIDICE CHAGAS CRUZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0002273365";"EURIDICE CHAGAS SAUDE BUCAL II";"eSB";"270";"0";"0,00"
"2757095";"UNIDADE DE SAUDE DA FAMILIA MIGUEL NUNES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180146";"MIGUEL NUNES SAUDE BUCAL I";"eSB";"291";"0";"0,00"
"6343864";"UNIDADE DE SAUDE DA FAMILIA JARDIM MARISTELA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812637";"ESF MARISTELA SAUDE BUCAL I";"eSB";"1";"0";"0,00"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
