Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 15 de outubro de 2025 - 08:10h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: Tratamento Restaurador Atraumático na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE ATENDIMENTOS COM PROCEDIMENTOS RESTAURADORES ATRAUMÁTICOS (ART) REALIZADOS;NÚMERO TOTAL DE ATENDIMENTOS COM PROCEDIMENTOS RESTAURADORES REALIZADOS;PONTUAÇÃO
"0010219";"SESAU USF INDUBRASIL MANOEL SECCO THOME";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755900";"EQUIPE VERMELHA - ESB";"eSB";"49";"137";"35,80"
"0010146";"SESAU USF MATA DO JACINTO DR ADEMAR GUEDES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728644";"EQUIPE VERMELHA - ESB";"eSB";"0";"180";"0,00"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755749";"EQUIPE SAO JOSE - ESB";"eSB";"0";"13";"0,00"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001796178";"EQUIPE ANACHE - ESB";"eSB";"2";"215";"0,90"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001731017";"EQUIPE JOAO DE BARROS - ESB";"eSB";"24";"533";"4,50"
"0010340";"SESAU USF ALVES PEREIRA DR WALFRIDO AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001754815";"EQUIPE LARANJA - ESB";"eSB";"1";"216";"0,50"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744291";"EQUIPE ACQUA - ESB";"eSB";"11";"355";"3,10"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001746510";"EQUIPE VERMELHA - ESB";"eSB";"50";"258";"19,40"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729691";"EQUIPE HORTENSIA - ESB";"eSB";"4";"171";"2,30"
"0028835";"SESAU USF PARQUE DO SOL DR BENJAMIM ASATO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744852";"EQUIPE FENIX - ESB";"eSB";"5";"105";"4,80"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002040530";"EQUIPE HORTO FLORESTAL - ESB";"eSB";"1";"150";"0,70"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743910";"EQUIPE FLORES DO CERRADO - ESB";"eSB";"186";"532";"35,00"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744569";"EQUIPE MARIA J FREITAS - ESB";"eSB";"24";"303";"7,90"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001718843";"EQUIPE IPE AZUL - ESB";"eSB";"12";"27";"44,40"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743759";"EQUIPE TARSILA - ESB";"eSB";"44";"517";"8,50"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001747835";"EQUIPE GIRASSOL - ESB";"eSB";"12";"285";"4,20"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724835";"EQUIPE FOGO - ESB";"eSB";"3";"178";"1,70"
"0010197";"SESAU USF SERRADINHO DR SUMIE IKEDA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755072";"EQUIPE FENIX - ESB";"eSB";"88";"240";"36,70"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750569";"EQUIPE PRATA - ESB";"eSB";"0";"78";"0,00"
"3499642";"SESAU USF JARDIM PRESIDENTE DR NASRI SIUFI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002164620";"EQUIPE ALFA - ESB";"eSB";"35";"723";"4,80"
"0010200";"SESAU USF JARDIM BONANCA DR HIROSE ADANIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735101";"EQUIPE LEOPARDO - ESB";"eSB";"285";"476";"59,90"
"6731198";"SESAU USF JOSE TAVARES DO COUTO DR FERNANDO DE ARRUDA TORRES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735209";"EQUIPE LUZ - ESB";"eSB";"10";"199";"5,00"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724290";"EQUIPE AR - ESB";"eSB";"0";"135";"0,00"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744682";"EQUIPE SAO TOME - ESB";"eSB";"0";"107";"0,00"
"0010316";"SESAU USF CIDADE MORENA DR VICENTE FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001749579";"EQUIPE ROSA - ESB";"eSB";"0";"502";"0,00"
"5672341";"SESAU USF ESTRELA DALVA DR JOAO MIGUEL BASMAGE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744445";"EQUIPE ROSA - ESB";"eSB";"0";"341";"0,00"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743872";"EQUIPE BEIJA FLOR - ESB";"eSB";"104";"825";"12,60"
"0010146";"SESAU USF MATA DO JACINTO DR ADEMAR GUEDES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728652";"EQUIPE AZUL - ESB";"eSB";"1";"205";"0,50"
"9439919";"SESAU USF VILA COX";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729861";"EQUIPE AZUL - ESB";"eSB";"28";"295";"9,50"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744046";"EQUIPE FLAMBOYANT - ESB";"eSB";"88";"404";"21,80"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744712";"EQUIPE CPACA - ESB";"eSB";"0";"244";"0,00"
"3285294";"SESAU USF JARDIM LOS ANGELES SEBASTIAO LUIZ NOGUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743589";"EQUIPE VERMELHA - ESB";"eSB";"19";"228";"8,30"
"3285294";"SESAU USF JARDIM LOS ANGELES SEBASTIAO LUIZ NOGUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743627";"EQUIPE AMARELA - ESB";"eSB";"2";"137";"1,50"
"0028835";"SESAU USF PARQUE DO SOL DR BENJAMIM ASATO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744836";"EQUIPE ARARA AZUL - ESB";"eSB";"1";"267";"0,40"
"7108052";"SESAU USF JARDIM ANTARTICA DR NELSON ASSEF BUAINAIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001753061";"EQUIPE VERMELHA - ESB";"eSB";"1";"179";"0,60"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743988";"EQUIPE ARARA VERMELHA - ESB";"eSB";"0";"550";"0,00"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001911929";"EQUIPE VITORIA REGIA - ESB";"eSB";"1";"168";"0,60"
"0010421";"SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756451";"EQUIPE LARANJA - ESB";"eSB";"0";"370";"0,00"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001753460";"EQUIPE AREA AMARELA - ESB";"eSB";"0";"132";"0,00"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001731130";"EQUIPE AREA VERMELHA - ESB";"eSB";"1";"138";"0,70"
"0021792";"SESAU USF ANHANDUI DR BENTO DE ASSIS MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730681";"EQUIPE AGUIA - ESB";"eSB";"0";"296";"0,00"
"0010294";"SESAU USF JOSE ABRAO DR ELIAS NASSER NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730347";"EQUIPE JOSE ABRAO - ESB";"eSB";"6";"384";"1,60"
"3080021";"SESAU USF JARDIM TARUMA DR EMILIO GARBELOTI NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730622";"EQUIPE MARRON - ESB";"eSB";"6";"230";"2,60"
"9022007";"SESAU USF ANA MARIA DO COUTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728423";"EQUIPE GARRA - ESB";"eSB";"5";"320";"1,60"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750593";"EQUIPE OURO - ESB";"eSB";"0";"202";"0,00"
"0021792";"SESAU USF ANHANDUI DR BENTO DE ASSIS MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729357";"EQUIPE FENIX - ESB";"eSB";"0";"236";"0,00"
"0024430";"SESAU USF UNIVERSITARIO DR GERMANO BARROS DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728946";"EQUIPE FENIX - ESB";"eSB";"1";"42";"2,40"
