Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 15 de outubro de 2025 - 08:30h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500660 / PONTA PORÃ

Filtro:
Indicador: Tratamento Restaurador Atraumático na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE ATENDIMENTOS COM PROCEDIMENTOS RESTAURADORES ATRAUMÁTICOS (ART) REALIZADOS;NÚMERO TOTAL DE ATENDIMENTOS COM PROCEDIMENTOS RESTAURADORES REALIZADOS;PONTUAÇÃO
"2599465";"UNIDADE BASICA DE SAUDE LEONOR COELHO BATISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096315";"ESB - LEONOR COELHO BATISTA";"eSB";"3";"249";"1,20"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096358";"ESB - ITAMARATI";"eSB";"27";"385";"7,00"
"9042849";"UNIDADE BASICA DE SAUDE DR JOSE ISSA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002038420";"ESB - JOSE ISSA";"eSB";"3";"807";"0,40"
"2651556";"UNIDADE BASICA DE SAUDE LAR GERALDO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096323";"ESB - GERALDO GARCIA I";"eSB";"15";"927";"1,60"
"7281986";"UNIDADE BASICA DE SAUDE JOSE ALBERTO VIEIRA BOCH";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096366";"ESB - JARDIM ESTORIL";"eSB";"19";"387";"4,90"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096331";"ESB-ITINERANTE";"eSB";"17";"329";"5,20"
"2361019";"UNIDADE BASICA DE SAUDE AUDELINA DE CAMPOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096382";"ESB - CABECEIRA DO APA";"eSB";"80";"259";"30,90"
"9003479";"UNIDADE BASICA DE SAUDE ZENEIDA TERRA DE SIQUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002083558";"ESB - JARDIM IVONE";"eSB";"1";"324";"0,30"
"9387919";"UNIDADE BASICA DE SAUDE DRA NISLAINE COLMAN BENITES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096390";"ESB - VILA RENO";"eSB";"8";"234";"3,40"
"5911192";"UNIDADE BASICA DE SAUDE DR PEDRO MONTEIRO DE ALMEIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052792";"ESB - JARDIM AEROPORTO";"eSB";"56";"140";"40,00"
"2651564";"CENTRO INTEGRADO DE SAUDE CIS TERTULIANA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002225964";"ESB - CIS II";"eSB";"23";"243";"9,50"
"5870178";"UNIDADE BASICA DE SAUDE DR NERY ALVES DE AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002057433";"ESB - MARAMBAIA";"eSB";"2";"92";"2,20"
"0998400";"UNIDADE BASICA DE SAUDE DR RODRIGO LIMA VILHANUEVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002083531";"ESB - KAMEL SAAD";"eSB";"1";"1341";"0,10"
"9075062";"UNIDADE BASICA DE SAUDE ENFERMEIRA ELIZA MEDINA BARRETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002057441";"ESB - SAO RAFAEL";"eSB";"9";"19";"47,40"
"2651521";"UNIDADE BASICA DE SAUDE NELSON MACHADO DIAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079925";"ESB - IPE II";"eSB";"39";"834";"4,70"
"5971918";"UNIDADE BASICA DE SAUDE ANDERSON LUIZ MONTEIRO GODOY";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052822";"ESB VILA AUREA";"eSB";"2";"401";"0,50"
"2361000";"UNIDADE BASICA DE SAUDE JOSE BATAGLIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079917";"ESB - SANGA PUITA";"eSB";"11";"76";"14,50"
"3830497";"UNIDADE BASICA DE SAUDE JOSE ALBERTO FERREIRA NEVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079933";"ESB - JARDIM ALEGRETE";"eSB";"25";"351";"7,10"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
