Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 15 de outubro de 2025 - 08:38h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500830 / TRÊS LAGOAS

Filtro:
Indicador: Tratamento Restaurador Atraumático na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE ATENDIMENTOS COM PROCEDIMENTOS RESTAURADORES ATRAUMÁTICOS (ART) REALIZADOS;NÚMERO TOTAL DE ATENDIMENTOS COM PROCEDIMENTOS RESTAURADORES REALIZADOS;PONTUAÇÃO
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812742";"PARANAPUNGA SAUDE BUCAL I";"eSB";"13";"132";"9,80"
"9543333";"UNIDADE DE SAUDE DA FAMILIA NOVA TRES LAGOAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001815229";"NOVA TRES LAGOAS SAUDE BUCAL I";"eSB";"54";"630";"8,60"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813412";"ESF SANTO ANDRE SAUDE BUCAL II";"eSB";"100";"529";"18,90"
"9390693";"UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002312271";"JARDIM ATENAS SAUDE BUCAL II";"eSB";"105";"669";"15,70"
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812777";"ESF PARANAPUNGA SAUDE BUCAL II";"eSB";"98";"558";"17,60"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813315";"SANTO ANDRE SAUDE BUCAL I";"eSB";"5";"529";"0,90"
"9390693";"UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812424";"JARDIM ATENAS SAUDE BUCAL I";"eSB";"278";"754";"36,90"
"9615946";"UNIDADE DE SAUDE DA FAMILIA NOVO OESTE PASTOR MARCOS ROGERIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001815016";"NOVO OESTE SAUDE BUCAL I";"eSB";"12";"362";"3,30"
"2757087";"UNIDADE DE SAUDE DA FAMILIA JUPIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812696";"JUPIA SAUDE BUCAL I";"eSB";"1";"556";"0,20"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812475";"ESF VILA PILOTO SAUDE BUCAL II";"eSB";"17";"158";"10,80"
